Paper,Authors,Journal,Peer_reviewed,Year,Link,Experiment_location,Sex,Group,Genus,Species,Strain,Wing_length,Wing_length_info,Rearing_temperature_condition,Temp_data,Rearing_temperature_note,Rearing_density,Larvae_diet,Larval_diet_data,Photoperiod,Notes
Effect of Microsporidia MB infection on the development and fitness of Anopheles arabiensis under different diet regimes,Boanyah G.Y.; Koekemoer L.L.; Herren J.K.; Bukhari T.,Parasites & Vectors,Y,2024,https://doi.org/10.1186/s13071-024-06365-8,Lab,Male,Anopheles arabiensis,Anopheles,arabiensis,Kisumu,3.61,,0,N,0,60 larvae/1L; 0.3mg Tetramin/larvae/day,Multiple diets - High,Y,,
Effect of Microsporidia MB infection on the development and fitness of Anopheles arabiensis under different diet regimes,Boanyah G.Y.; Koekemoer L.L.; Herren J.K.; Bukhari T.,Parasites & Vectors,Y,2024,https://doi.org/10.1186/s13071-024-06365-8,Lab,Female,Anopheles arabiensis,Anopheles,arabiensis,Kisumu,4.17,,0,N,0,60 larvae/1L; 0.3mg Tetramin/larvae/day,Multiple diets - High,Y,,
Effect of Microsporidia MB infection on the development and fitness of Anopheles arabiensis under different diet regimes,Boanyah G.Y.; Koekemoer L.L.; Herren J.K.; Bukhari T.,Parasites & Vectors,Y,2024,https://doi.org/10.1186/s13071-024-06365-8,Lab,Male,Anopheles arabiensis,Anopheles,arabiensis,Kisumu,3.42,,0,N,0,60 larvae/1L; 0.07mg Tetramin/larvae/day,Multiple diets - Low,Y,,
Effect of Microsporidia MB infection on the development and fitness of Anopheles arabiensis under different diet regimes,Boanyah G.Y.; Koekemoer L.L.; Herren J.K.; Bukhari T.,Parasites & Vectors,Y,2024,https://doi.org/10.1186/s13071-024-06365-8,Lab,Female,Anopheles arabiensis,Anopheles,arabiensis,Kisumu,3.71,,0,N,0,60 larvae/1L; 0.07mg Tetramin/larvae/day,Multiple diets - Low,Y,,
Effects of the short- and long-term accumulation of detritus in larval habitats on life history traits of Aedes aegypti in temperate Argentina,Montini P.; Fischer S. ,Medical and Veterinary Entomology,Y,2022,https://doi.org/10.1111/mve.12547,Lab,Male,Aedes aegypti,Aedes,aegypti,Argentina,2.35,2.14-2.55 range,0,N,0,,Single diet,N,,
Effects of the short- and long-term accumulation of detritus in larval habitats on life history traits of Aedes aegypti in temperate Argentina,Montini P.; Fischer S. ,Medical and Veterinary Entomology,Y,2022,https://doi.org/10.1111/mve.12547,Lab,Female,Aedes aegypti,Aedes,aegypti,Argentina,3.14,3.00-3.28 range,0,N,0,,Single diet,N,,
"Determinants of Aedes mosquito larval ecology in a heterogeneous urban environment- a longitudinal study in Bengaluru, India",Dharmamuthuraja D.; P D R.; Lakshmi M.I.; Isvaran K.; Ghosh S.K.; Ishtiaq F.,PLOS Neglected Tropical Diseases,Y,2023,https://doi.org/10.1371/journal.pntd.0011702 ,Field,Male,Aedes aegypti,Aedes,aegypti,Bengaluru,1.6,larvae emerged population,0,N,0,,Single diet,N,,
"Determinants of Aedes mosquito larval ecology in a heterogeneous urban environment- a longitudinal study in Bengaluru, India",Dharmamuthuraja D.; P D R.; Lakshmi M.I.; Isvaran K.; Ghosh S.K.; Ishtiaq F.,PLOS Neglected Tropical Diseases,Y,2023,https://doi.org/10.1371/journal.pntd.0011702 ,Field,Female,Aedes aegypti,Aedes,aegypti,Bengaluru,2.6,larvae emerged population,0,N,0,,Single diet,N,,
"Determinants of Aedes mosquito larval ecology in a heterogeneous urban environment- a longitudinal study in Bengaluru, India",Dharmamuthuraja D.; P D R.; Lakshmi M.I.; Isvaran K.; Ghosh S.K.; Ishtiaq F.,PLOS Neglected Tropical Diseases,Y,2023,https://doi.org/10.1371/journal.pntd.0011702 ,Field,Male,Aedes aegypti,Aedes,aegypti,Bengaluru,1.7,BG traps,0,N,0,,Single diet,N,,
"Determinants of Aedes mosquito larval ecology in a heterogeneous urban environment- a longitudinal study in Bengaluru, India",Dharmamuthuraja D.; P D R.; Lakshmi M.I.; Isvaran K.; Ghosh S.K.; Ishtiaq F.,PLOS Neglected Tropical Diseases,Y,2023,https://doi.org/10.1371/journal.pntd.0011702 ,Field,Female,Aedes aegypti,Aedes,aegypti,Bengaluru,2.8,BG traps,0,N,0,,Single diet,N,,
Using body size as an indicator for age structure in field populations of Aedes aegypti (Diptera: Culicidae),Gutiérrez E.H.J.; M.A.; Walker K.R.; Ernst K.C.; Davidowitz  G.,Parasites & Vectors,Y,2022,https://doi.org/10.1186/s13071-022-05605-z,Field,Female,Aedes aegypti,Aedes,aegypti,Tucson,2.8,,0,N,0,,Single diet,N,,
Body size variation of the floodwater mosquito Aedes albifasciatus in Central Argentina,Gleiser R.M.; Urrutia J.; Gorla D.E.,Medical and Veterinary Entomology,Y,2000,https://doi.org/10.1046/j.1365-2915.2000.00217.x,Field,Female,Aedes albifasciatus,Aedes,albifasciatus,"Mar Chiquita, Argentina",3.8,"3.8 mean, 0.42 SD",0,N,0,,Single diet,N,,
Examining Wing Length-Abundance Relationships and Pyrethroid Resistance Mutations among Aedes albopictus in a Rapidly Growing Urban Area with Implications for Mosquito Surveillance and Control,Mundis S.J.; Hamerlinck G.; Stone E.K.; Whiteman A.; Delmelle E.; Rapp T.; Dulin M.; Ryan S.J.,International Journal of Environmental Research  and Public Health,Y,2021,https://doi.org/10.3390/ijerph18189443,Field,Female,Aedes albopictus,Aedes,albopictus,"Mecklenburg County, North Carolina",2.73,2.73 mean,0,N,0,,Single diet,N,,
Assessment of Aedes albopictus (Skuse) (Diptera: Culicidae) clutch size in wild and laboratory populations,Davis T.J.; Kline D.L.; Kaufman P.E.,Journal of Vector Ecology,Y,2016,https://doi.org/10.1111/jvec.12188,Field,Female,Aedes albopictus,Aedes,albopictus,"Gainesville, Florida",2.51,"2.51 mean, 0.2 SE",0,N,0,,Single diet,N,,
Assessment of Aedes albopictus (Skuse) (Diptera: Culicidae) clutch size in wild and laboratory populations,Davis T.J.; Kline D.L.; Kaufman P.E.,Journal of Vector Ecology,Y,2016,https://doi.org/10.1111/jvec.12188,Field,Female,Aedes albopictus,Aedes,albopictus,"Gainesville, Florida",1.99,"1.99 mean, 0.24 SE",0,N,0,,Single diet,N,,
Assessment of Aedes albopictus (Skuse) (Diptera: Culicidae) clutch size in wild and laboratory populations,Davis T.J.; Kline D.L.; Kaufman P.E.,Journal of Vector Ecology,Y,2016,https://doi.org/10.1111/jvec.12188,Field,Female,Aedes albopictus,Aedes,albopictus,"Gainesville, Florida",2.47,"2.47 mean, 0.04 SE",0,N,0,,Single diet,N,,
Assessment of Aedes albopictus (Skuse) (Diptera: Culicidae) clutch size in wild and laboratory populations,Davis T.J.; Kline D.L.; Kaufman P.E.,Journal of Vector Ecology,Y,2016,https://doi.org/10.1111/jvec.12188,Field,Female,Aedes albopictus,Aedes,albopictus,"Gainesville, Florida",2.54,"2.54 mean, 0.04 SE",0,N,0,,Single diet,N,,
The effect of inbreeding and larval feeding regime on immature development of Aedes albopictus,Jong Z.W.; Kassim N.F.A.; Naziri M.A.; Webb C.E. ,Journal of Vector Ecology,Y,2017,https://doi.org/10.1111/jvec.12244,Lab,Male,Aedes albopictus,Aedes,albopictus,VCRU,1.93,1.76 ± 0.21 mm to 2.10 ± 0.12,0,N,0,,Single diet,N,,
The effect of inbreeding and larval feeding regime on immature development of Aedes albopictus,Jong Z.W.; Kassim N.F.A.; Naziri M.A.; Webb C.E. ,Journal of Vector Ecology,Y,2017,https://doi.org/10.1111/jvec.12244,Lab,Female,Aedes albopictus,Aedes,albopictus,VCRU,2.32,2.02 ± 0.31 mm to 2.62 ± 0.13 ,0,N,0,,Single diet,N,,
The effect of inbreeding and larval feeding regime on immature development of Aedes albopictus,Jong Z.W.; Kassim N.F.A.; Naziri M.A.; Webb C.E. ,Journal of Vector Ecology,Y,2017,https://doi.org/10.1111/jvec.12244,Field,Male,Aedes albopictus,Aedes,albopictus,Aman Damai,1.89,1.66 ± 0.16 mm to 2.11 ± 0.10,0,N,0,,Single diet,N,,
The effect of inbreeding and larval feeding regime on immature development of Aedes albopictus,Jong Z.W.; Kassim N.F.A.; Naziri M.A.; Webb C.E. ,Journal of Vector Ecology,Y,2017,https://doi.org/10.1111/jvec.12244,FIeld,Female,Aedes albopictus,Aedes,albopictus,Aman Damai,2.26,1.91 ± 0.18 mm to 2.61 ± 0.07,0,N,0,,Single diet,N,,
Colonized Aedes albopictus and its sexual performance in the wild: implications for SIT technology and containment,"Hamady D.; Ruslan N.B.; Ahmad A.H.; Rawi C.S.M.; Ahmad H.; Satho T.; Miake F.; Zuharah W.F.; FuKumitsu Y., Saad A.R.; Rajasaygar S.; Vargas R.E.M.: Ab Majid A.H.; Fadzly N.; Ghani I.A.; AbuBakar  S.",Parasites & Vectors,Y,2013,https://doi.org/10.1186/1756-3305-6-206,Field,Female,Aedes albopictus,Aedes,albopictus,Kampong Teluk Tempoyak,2.68,"2.68 mean, 0.03 SE",0,N,0,,Single diet,N,,
